S. No,Order ID,Order Date,Ship Date (Bluesky Logistics),Ship Mode (Bluesky Logistics),Country,City,Postal Code,Region,Product ID,Product Name (by Designer),Sales (INR), Cost (INR),Quantity,Profit (INR),Turnaround time (days),Delivery status,ship mode
1,CA-2016-152156,42682,42685,Second Class,India,Delhi,42420,South,FUR-BO-10001798,Printed T-shirt,261.96,220.0464,2,41.9136,7,Advance shipping,Regular Air
2,CA-2016-152156,42682,42685,Second Class,India,Delhi,42420,South,FUR-CH-10000454,Printed T-shirt,731.94,512.358,3,219.582,7,Late delivery,Express Air
3,CA-2016-138688,42533,42537,Second Class,India,Delhi,90036,West,OFF-LA-10000240,Printed T-shirt,14.62,7.7486,2,6.8714,7,Shipping on time,Express Air
4,US-2015-108966,42288,42295,Standard Class,India,Delhi,33311,South,FUR-TA-10000577,Printed T-shirt,957.5775,1340.6085,5,-383.031,10,Advance shipping,Regular Air
5,US-2015-108966,42288,42295,Standard Class,India,Delhi,33311,South,OFF-ST-10000760,Printed T-shirt,22.368,19.8516,2,2.5164,10,Advance shipping,Express Air
6,CA-2014-115812,41799,41804,Standard Class,India,Delhi,90032,West,FUR-FU-10001487,Printed T-shirt,48.86,34.6906,7,14.1694,10,Shipping canceled,Express Air
7,CA-2014-115812,41799,41804,Standard Class,India,Mumbai,90032,West,OFF-AR-10002833,Printed T-shirt,7.28,5.3144,4,1.9656,10,Late delivery,Delivery Truck
8,CA-2014-115812,41799,41804,Standard Class,India,Mumbai,90032,West,TEC-PH-10002275,Printed T-shirt,907.152,816.4368,6,90.7152,10,Late delivery,Delivery Truck
9,CA-2014-115812,41799,41804,Standard Class,India,Mumbai,90032,West,OFF-BI-10003910,Printed T-shirt,18.504,12.7215,3,5.7825,10,Late delivery,Regular Air
10,CA-2014-115812,41799,41804,Standard Class,India,Mumbai,90032,West,OFF-AP-10002892,Printed T-shirt,114.9,80.43,5,34.47,10,Late delivery,Regular Air
11,CA-2014-115812,41799,41804,Standard Class,India,Mumbai,90032,West,FUR-TA-10001539,Printed T-shirt,1706.184,1620.8748,9,85.3091999999998,10,Shipping canceled,Regular Air
12,CA-2014-115812,41799,41804,Standard Class,India,Mumbai,90032,West,TEC-PH-10002033,Printed T-shirt,911.424,843.0672,4,68.3568,10,Late delivery,Regular Air
13,CA-2017-114412,42840,42845,Standard Class,India,Mumbai,28027,South,OFF-PA-10002365,Printed T-shirt,15.552,10.1088,3,5.4432,10,Late delivery,Regular Air
14,CA-2016-161389,42709,42714,Standard Class,India,Mumbai,98103,West,OFF-BI-10003656,Printed T-shirt,407.976,275.3838,3,132.5922,10,Late delivery,Regular Air
15,US-2015-118983,42330,42334,Standard Class,India,Mumbai,76106,Central,OFF-AP-10002311,Printed T-shirt,68.81,192.668,5,-123.858,10,Late delivery,Delivery Truck
16,US-2015-118983,42330,42334,Standard Class,India,Mumbai,76106,Central,OFF-BI-10000756,Printed T-shirt,2.544,6.36,3,-3.816,10,Late delivery,Delivery Truck
17,CA-2014-105893,41954,41961,Standard Class,India,Mumbai,53711,Central,OFF-ST-10004186,Printed T-shirt,665.88,652.5624,6,13.3176,10,Late delivery,Regular Air
18,CA-2014-167164,41772,41774,Second Class,India,Mumbai,84084,West,OFF-ST-10000107,Plain T-shirt,55.5,45.51,2,9.99,7,Late delivery,Regular Air
19,CA-2014-143336,41878,41883,Second Class,India,Mumbai,94109,West,OFF-AR-10003056,Plain T-shirt,8.56,6.0776,2,2.4824,7,Late delivery,Regular Air
